"sprigatito","https://pokeapi.co/api/v2/pokemon-species/906/"
"floragato","https://pokeapi.co/api/v2/pokemon-species/907/"
"meowscarada","https://pokeapi.co/api/v2/pokemon-species/908/"
"fuecoco","https://pokeapi.co/api/v2/pokemon-species/909/"
"crocalor","https://pokeapi.co/api/v2/pokemon-species/910/"
"skeledirge","https://pokeapi.co/api/v2/pokemon-species/911/"
"quaxly","https://pokeapi.co/api/v2/pokemon-species/912/"
"quaxwell","https://pokeapi.co/api/v2/pokemon-species/913/"
"quaquaval","https://pokeapi.co/api/v2/pokemon-species/914/"
"lechonk","https://pokeapi.co/api/v2/pokemon-species/915/"
"oinkologne","https://pokeapi.co/api/v2/pokemon-species/916/"
"tarountula","https://pokeapi.co/api/v2/pokemon-species/917/"
"spidops","https://pokeapi.co/api/v2/pokemon-species/918/"
"nymble","https://pokeapi.co/api/v2/pokemon-species/919/"
"lokix","https://pokeapi.co/api/v2/pokemon-species/920/"
"hoppip","https://pokeapi.co/api/v2/pokemon-species/187/"
"skiploom","https://pokeapi.co/api/v2/pokemon-species/188/"
"jumpluff","https://pokeapi.co/api/v2/pokemon-species/189/"
"fletchling","https://pokeapi.co/api/v2/pokemon-species/661/"
"fletchinder","https://pokeapi.co/api/v2/pokemon-species/662/"
"talonflame","https://pokeapi.co/api/v2/pokemon-species/663/"
"pawmi","https://pokeapi.co/api/v2/pokemon-species/921/"
"pawmo","https://pokeapi.co/api/v2/pokemon-species/922/"
"pawmot","https://pokeapi.co/api/v2/pokemon-species/923/"
"houndour","https://pokeapi.co/api/v2/pokemon-species/228/"
"houndoom","https://pokeapi.co/api/v2/pokemon-species/229/"
"yungoos","https://pokeapi.co/api/v2/pokemon-species/734/"
"gumshoos","https://pokeapi.co/api/v2/pokemon-species/735/"
"skwovet","https://pokeapi.co/api/v2/pokemon-species/819/"
"greedent","https://pokeapi.co/api/v2/pokemon-species/820/"
"sunkern","https://pokeapi.co/api/v2/pokemon-species/191/"
"sunflora","https://pokeapi.co/api/v2/pokemon-species/192/"
"kricketot","https://pokeapi.co/api/v2/pokemon-species/401/"
"kricketune","https://pokeapi.co/api/v2/pokemon-species/402/"
"scatterbug","https://pokeapi.co/api/v2/pokemon-species/664/"
"spewpa","https://pokeapi.co/api/v2/pokemon-species/665/"
"vivillon","https://pokeapi.co/api/v2/pokemon-species/666/"
"combee","https://pokeapi.co/api/v2/pokemon-species/415/"
"vespiquen","https://pokeapi.co/api/v2/pokemon-species/416/"
"rookidee","https://pokeapi.co/api/v2/pokemon-species/821/"
"corvisquire","https://pokeapi.co/api/v2/pokemon-species/822/"
"corviknight","https://pokeapi.co/api/v2/pokemon-species/823/"
"happiny","https://pokeapi.co/api/v2/pokemon-species/440/"
"chansey","https://pokeapi.co/api/v2/pokemon-species/113/"
"blissey","https://pokeapi.co/api/v2/pokemon-species/242/"
"azurill","https://pokeapi.co/api/v2/pokemon-species/298/"
"marill","https://pokeapi.co/api/v2/pokemon-species/183/"
"azumarill","https://pokeapi.co/api/v2/pokemon-species/184/"
"surskit","https://pokeapi.co/api/v2/pokemon-species/283/"
"masquerain","https://pokeapi.co/api/v2/pokemon-species/284/"
"buizel","https://pokeapi.co/api/v2/pokemon-species/418/"
"floatzel","https://pokeapi.co/api/v2/pokemon-species/419/"
"wooper","https://pokeapi.co/api/v2/pokemon-species/194/"
"clodsire","https://pokeapi.co/api/v2/pokemon-species/980/"
"psyduck","https://pokeapi.co/api/v2/pokemon-species/54/"
"golduck","https://pokeapi.co/api/v2/pokemon-species/55/"
"chewtle","https://pokeapi.co/api/v2/pokemon-species/833/"
"drednaw","https://pokeapi.co/api/v2/pokemon-species/834/"
"igglybuff","https://pokeapi.co/api/v2/pokemon-species/174/"
"jigglypuff","https://pokeapi.co/api/v2/pokemon-species/39/"
"wigglytuff","https://pokeapi.co/api/v2/pokemon-species/40/"
"ralts","https://pokeapi.co/api/v2/pokemon-species/280/"
"kirlia","https://pokeapi.co/api/v2/pokemon-species/281/"
"gardevoir","https://pokeapi.co/api/v2/pokemon-species/282/"
"gallade","https://pokeapi.co/api/v2/pokemon-species/475/"
"drowzee","https://pokeapi.co/api/v2/pokemon-species/96/"
"hypno","https://pokeapi.co/api/v2/pokemon-species/97/"
"gastly","https://pokeapi.co/api/v2/pokemon-species/92/"
"haunter","https://pokeapi.co/api/v2/pokemon-species/93/"
"gengar","https://pokeapi.co/api/v2/pokemon-species/94/"
"tandemaus","https://pokeapi.co/api/v2/pokemon-species/924/"
"maushold","https://pokeapi.co/api/v2/pokemon-species/925/"
"pichu","https://pokeapi.co/api/v2/pokemon-species/172/"
